,image_id,tp,fp,fn,precision,recall
689,009240,18,0,19,1.0,0.486
690,036215,4,2,4,0.667,0.5
691,047569,3,0,1,1.0,0.75
692,026396,4,0,4,1.0,0.5
693,037167,3,0,3,1.0,0.5
694,048235,7,0,10,1.0,0.412
695,021989,7,0,16,1.0,0.304
696,026170,5,0,10,1.0,0.333
697,043699,7,1,5,0.875,0.583
698,012703,9,0,11,1.0,0.45
699,030978,13,1,15,0.929,0.464
700,041416,8,1,14,0.889,0.364
701,024492,1,0,6,1.0,0.143
702,041097,0,2,5,0.0,0.0
703,002790,6,0,12,1.0,0.333
704,022659,4,1,12,0.8,0.25
705,025912,4,0,2,1.0,0.667
706,015748,3,0,31,1.0,0.088
707,018447,1,0,3,1.0,0.25
708,019365,6,0,9,1.0,0.4
709,047340,8,1,19,0.889,0.296
710,026380,13,2,8,0.867,0.619
711,016455,1,0,8,1.0,0.111
712,033513,1,1,1,0.5,0.5
713,004337,6,0,22,1.0,0.214
714,016346,3,0,23,1.0,0.115
715,028469,6,0,18,1.0,0.25
716,036470,5,0,15,1.0,0.25
717,035917,13,0,22,1.0,0.371
718,038064,10,0,15,1.0,0.4
719,029401,6,1,24,0.857,0.2
720,023813,8,0,7,1.0,0.533
721,039329,8,0,9,1.0,0.471
722,049411,3,1,26,0.75,0.103
723,013015,2,1,13,0.667,0.133
724,015973,1,0,0,1.0,1.0
725,049746,8,0,3,1.0,0.727
726,046194,16,0,12,1.0,0.571
727,038059,12,0,16,1.0,0.429
728,032894,14,0,28,1.0,0.333
729,040742,15,1,13,0.937,0.536
730,043056,2,0,37,1.0,0.051
